id,Finnkode,Modellår,Kilometer,Girkasse,Drivstoff,Hjuldrift,Effekt,Vekt,AntallSeter,Karosseri,AntallDører,Avgiftsklasse,Maksimaltilhengervekt,SalePrice
211,336643799,2005,252120,Manuell,Bensin,Forhjulsdrift,102,1350,5,Stasjonsvogn,5,Personbil,1200,16845
212,339881532,2005,261864,Manuell,Diesel,Forhjulsdrift,105,1659,5,Flerbruksbil,5,Personbil,1500,16845
213,339877270,2005,229123,Manuell,Bensin,Bakhjulsdrift,129,1360,5,Sedan,4,Personbil,1250,17845
214,334024807,2004,332000,Automat,Bensin,Forhjulsdrift,179,1586,5,Stasjonsvogn,5,Personbil,1600,18777
215,339776107,2004,223713,Manuell,Bensin,Forhjulsdrift,102,1487,5,Stasjonsvogn,4,Personbil,1200,16000
216,335857999,2008,217958,Manuell,Diesel,Forhjulsdrift,109,1336,5,Stasjonsvogn,5,Personbil,1300,20000
217,339584300,2010,200000,Manuell,Diesel,Forhjulsdrift,129,1657,5,Stasjonsvogn,4,Personbil,1400,16845
218,339516372,2007,448000,Automat,Diesel,Bakhjulsdrift,170,1735,5,Stasjonsvogn,5,Personbil,2100,16745
219,329422750,2006,344000,Automat,Diesel,Firehjulsdrift,179,2033,5,KombiFemdørs,4,Personbil,1900,19777
220,339464303,1997,350000,Automat,Bensin,Forhjulsdrift,144,1400,5,Sedan,4,Personbil,1600,19346
221,339440883,2008,245000,Manuell,Diesel,Forhjulsdrift,109,1122,4,Sedan,2,Personbil,625,20000
222,330008385,2006,361573,Manuell,Bensin,Firehjulsdrift,177,1685,5,Stasjonsvogn,5,Personbil,1700,19845
223,339317673,2005,187000,Automat,Diesel,Bakhjulsdrift,150,1565,5,Sedan,4,Personbil,1900,16845
224,338132295,2003,303155,Manuell,Diesel,Forhjulsdrift,131,1450,5,Stasjonsvogn,4,Personbil,1600,16845
