,Finnkode,Modellår,Kilometer,Girkasse,Drivstoff,Omregistrering,1. gang registrert,Hjuldrift,Effekt,Vekt,Antall seter,Karosseri,Antall dører,Salgsform,Avgiftsklasse,Maksimal tilhengervekt
2547,339401064,2014,150 496 km,Manuell,Diesel,1 476 kr (avgifter),26.09.2014,Forhjulsdrift,90 Hk,1 330 kg,2,Stasjonsvogn,5,Bruktbil til salgs,Varebil,1 000 kg
2549,339392681,2004,248 000 km,Automat,Diesel,Fritatt (avgifter),06.11.2006,Firehjulsdrift,160 Hk,2 060 kg,7,SUV/Offroad,5,Bruktbil til salgs,Personbil,3 300 kg
2551,339356041,2009,263 950 km,Manuell,Diesel,1 845 kr (avgifter),31.03.2009,Firehjulsdrift,136 Hk,1 613 kg,5,SUV/Offroad,5,Bruktbil til salgs,Personbil,2 100 kg
2552,339354022,2011,165 500 km,Manuell,Bensin,1 845 kr (avgifter),25.01.2011,Forhjulsdrift,105 Hk,1 158 kg,5,Kombi 5-dørs,5,Bruktbil til salgs,Personbil,1 200 kg
2554,339341139,2008,276 200 km,Manuell,Diesel,1 845 kr (avgifter),20.12.2007,Forhjulsdrift,136 Hk,1 664 kg,5,Stasjonsvogn,5,Bruktbil til salgs,Personbil,1 600 kg
2555,339340722,2012,184 000 km,Manuell,Diesel,1 231 kr (avgifter),02.05.2012,Bakhjulsdrift,116 Hk,1 974 kg,3,Kasse,5,Bruktbil til salgs,Varebil,2 300 kg
2556,339164745,2013,71 745 km,Manuell,Bensin,4 672 kr (avgifter),31.08.2013,Forhjulsdrift,80 Hk,845 kg,5,Kombi 5-dørs,5,Bruktbil til salgs,Personbil,200 kg
2558,339252483,2012,231 000 km,Automat,Diesel,4 305 kr (avgifter),23.03.2012,Forhjulsdrift,111 Hk,1 430 kg,5,Stasjonsvogn,5,Bruktbil til salgs,Personbil,1 375 kg
2559,339230628,2013,249 000 km,Automat,Diesel,1 476 kr (avgifter),17.09.2012,Forhjulsdrift,90 Hk,1 320 kg,3,Stasjonsvogn,5,Bruktbil til salgs,Varebil,1 160 kg
2560,339227139,2010,135 200 km,Manuell,Bensin,1 845 kr (avgifter),12.03.2010,Forhjulsdrift,75 Hk,1 025 kg,5,Kombi 3-dørs,3,Bruktbil til salgs,Personbil,900 kg
2561,339224400,2010,143 800 km,Manuell,Diesel,1 845 kr (avgifter),28.05.2010,Forhjulsdrift,111 Hk,1 165 kg,5,Kombi 3-dørs,3,Bruktbil til salgs,Personbil,1 150 kg
2563,339207667,2016,216 000 km,Automat,Diesel,1 476 kr (avgifter),07.12.2015,Forhjulsdrift,99 Hk,1 355 kg,3,Kasse,4,Bruktbil til salgs,Varebil,1 250 kg
2564,339206531,2004,295 000 km,Manuell,Diesel,1 845 kr (avgifter),03.10.2008,Bakhjulsdrift,177 Hk,1 675 kg,5,Stasjonsvogn,4,Bruktbil til salgs,Personbil,2 000 kg
2565,339185949,2013,236 900 km,Manuell,Diesel,4 305 kr (avgifter),10.01.2013,Forhjulsdrift,95 Hk,1 287 kg,5,Stasjonsvogn,5,Bruktbil til salgs,Personbil,1 200 kg
2566,339183834,2010,173 200 km,Manuell,Bensin,1 845 kr (avgifter),30.07.2010,Forhjulsdrift,69 Hk,985 kg,5,Kombi 5-dørs,5,Bruktbil til salgs,Personbil,750 kg
2567,339061285,2013,187 000 km,Manuell,Diesel,1 777 kr (avgifter),17.09.2013,Forhjulsdrift,90 Hk,1 320 kg,3,Kasse,4,Bruktbil til salgs,Varebil,940 kg
2568,337325259,2013,196 000 km,Manuell,Bensin,4 305 kr (avgifter),14.05.2013,Forhjulsdrift,105 Hk,1 205 kg,5,Stasjonsvogn,5,Bruktbil til salgs,Personbil,1 200 kg
2570,339094291,2006,195 000 km,Automat,Diesel,1 845 kr (avgifter),12.05.2006,Forhjulsdrift,105 Hk,1 677 kg,5,Flerbruksbil,5,Bruktbil til salgs,Personbil,1 500 kg
2571,338606557,2012,278 000 km,Manuell,Diesel,1 845 kr (avgifter),15.11.2011,Forhjulsdrift,90 Hk,1 239 kg,5,Kombi 5-dørs,5,Bruktbil til salgs,Personbil,1 400 kg
2573,339065913,2009,240 900 km,Automat,Bensin,1 845 kr (avgifter),20.01.2010,Forhjulsdrift,147 Hk,1 405 kg,5,Stasjonsvogn,4,Bruktbil til salgs,Personbil,1 600 kg
2575,339040566,2012,227 050 km,Manuell,Diesel,4 305 kr (avgifter),13.01.2012,Forhjulsdrift,116 Hk,1 570 kg,5,Stasjonsvogn,4,Bruktbil til salgs,Personbil,1 600 kg
2576,339034627,2008,126 100 km,Manuell,Diesel,1 845 kr (avgifter),04.02.2008,Bakhjulsdrift,150 Hk,1 495 kg,5,Stasjonsvogn,5,Bruktbil til salgs,Personbil,1 500 kg
2577,338993519,2008,274 000 km,Manuell,Bensin,1 845 kr (avgifter),22.05.2008,Bakhjulsdrift,170 Hk,1 435 kg,4,Coupe,2,Bruktbil til salgs,Personbil,1 400 kg
2578,333835420,2011,188 447 km,Manuell,Diesel,1 777 kr (avgifter),31.05.2011,Forhjulsdrift,105 Hk,1 140 kg,4,Kombi 3-dørs,3,Bruktbil til salgs,Personbil,1 200 kg
2579,332173417,2005,170 000 km,Automat,Bensin,1 777 kr (avgifter),13.06.2005,Bakhjulsdrift,143 Hk,1 480 kg,5,Stasjonsvogn,5,Bruktbil til salgs,Personbil,1 500 kg
2581,314737019,1993,278 688 km,Manuell,Diesel,1 777 kr (avgifter),17.12.1992,Forhjulsdrift,77 Hk,1 735 kg,8,Kasse,4,Bruktbil til salgs,Personbil,1 735 kg
2583,338769290,2011,121 100 km,Manuell,Diesel,1 231 kr (avgifter),11.08.2011,Forhjulsdrift,75 Hk,1 397 kg,2,Kasse,4,Bruktbil til salgs,Varebil,1 200 kg
2584,338722788,2011,180 000 km,Manuell,Diesel,1 845 kr (avgifter),19.05.2011,Forhjulsdrift,110 Hk,1 788 kg,5,Stasjonsvogn,5,Bruktbil til salgs,Personbil,1 600 kg
2585,338729258,2011,288 500 km,Automat,Diesel,1 845 kr (avgifter),05.05.2011,Forhjulsdrift,163 Hk,1 615 kg,5,Stasjonsvogn,5,Bruktbil til salgs,Personbil,1 300 kg
2586,338709810,2011,100 200 km,Manuell,Bensin,1 845 kr (avgifter),04.07.2011,Forhjulsdrift,105 Hk,1 070 kg,5,Kombi 5-dørs,5,Bruktbil til salgs,Personbil,1 200 kg
2587,338660040,2004,344 000 km,Manuell,Diesel,1 845 kr (avgifter),10.06.2004,Firehjulsdrift,102 Hk,1 970 kg,6,Flerbruksbil,5,Bruktbil til salgs,Kombinertbil,2 000 kg
2589,338646321,2004,350 000 km,Automat,Diesel,1 845 kr (avgifter),28.11.2007,Firehjulsdrift,163 Hk,2 110 kg,7,SUV/Offroad,5,Bruktbil til salgs,Personbil,2 250 kg
