,Finnkode,Modellår,Kilometer,Girkasse,Drivstoff,Omregistrering,1. gang registrert,Hjuldrift,Effekt,Vekt,Antall seter,Karosseri,Antall dører,Salgsform,Avgiftsklasse,Maksimal tilhengervekt
58,322624064,2006,282 999 km,Manuell,Diesel,Fritatt (avgifter),16.10.2006,Forhjulsdrift,90 Hk,1 235 kg,5,Stasjonsvogn,4,Bruktbil til salgs,Personbil,1 000 kg
61,308096688,2008,141 519 km,Manuell,Diesel,Fritatt (avgifter),08.05.2008,Forhjulsdrift,75 Hk,1 160 kg,5,Kombi 5-dørs,5,Bruktbil til salgs,Personbil,1 000 kg
62,306412306,2006,199 908 km,Manuell,Diesel,Fritatt (avgifter),21.07.2005,Forhjulsdrift,105 Hk,1 539 kg,7,Flerbruksbil,5,Bruktbil til salgs,Personbil,1 500 kg
67,341468024,2003,309 000 km,Manuell,Diesel,1 845 kr (avgifter),09.08.2002,Firehjulsdrift,131 Hk,1 569 kg,5,Stasjonsvogn,5,Bruktbil til salgs,Personbil,1 700 kg
68,341465253,2006,188 000 km,Manuell,Bensin,1 845 kr (avgifter),17.10.2006,Firehjulsdrift,136 Hk,1 540 kg,5,SUV/Offroad,5,Bruktbil til salgs,Personbil,1 500 kg
69,341467433,2006,255 000 km,Manuell,Bensin,1 845 kr (avgifter),15.02.2011,Forhjulsdrift,125 Hk,1 276 kg,5,Stasjonsvogn,5,Bruktbil til salgs,Personbil,1 200 kg
72,340709749,2008,340 164 km,Manuell,Diesel,1 845 kr (avgifter),20.07.2007,Forhjulsdrift,105 Hk,1 477 kg,5,Stasjonsvogn,5,Bruktbil til salgs,Personbil,1 500 kg
75,341371636,2008,282 000 km,Manuell,Diesel,1 845 kr (avgifter),23.07.2008,Forhjulsdrift,140 Hk,1 470 kg,5,Stasjonsvogn,5,Bruktbil til salgs,Personbil,1 600 kg
76,341357496,2008,150 000 km,Manuell,Diesel,1 845 kr (avgifter),06.04.2022,Forhjulsdrift,90 Hk,1 355 kg,5,Kombi 5-dørs,4,Bruktbil til salgs,Personbil,1 150 kg
79,329575602,2003,413 000 km,Manuell,Diesel,1 777 kr (avgifter),06.02.2007,Forhjulsdrift,131 Hk,1 578 kg,5,Stasjonsvogn,5,Bruktbil til salgs,Personbil,1 800 kg
81,341156032,2005,242 300 km,Manuell,Diesel,1 845 kr (avgifter),03.06.2005,Forhjulsdrift,109 Hk,1 386 kg,5,Stasjonsvogn,4,Bruktbil til salgs,Personbil,1 300 kg
82,341140308,2001,244 000 km,Manuell,Bensin,1 845 kr (avgifter),09.05.2001,Forhjulsdrift,110 Hk,1 357 kg,5,Stasjonsvogn,4,Bruktbil til salgs,Personbil,1 450 kg
83,339212346,2000,280 000 km,Manuell,Bensin,1 845 kr (avgifter),27.07.2000,Forhjulsdrift,131 Hk,1 320 kg,5,Kombi 5-dørs,5,Bruktbil til salgs,Personbil,1 600 kg
87,340773696,2007,278 000 km,Manuell,Diesel,1 845 kr (avgifter),16.02.2007,Forhjulsdrift,105 Hk,1 395 kg,5,Flerbruksbil,5,Bruktbil til salgs,Personbil,1 400 kg
88,338095889,1992,108 194 km,Manuell,Bensin,Fritatt (avgifter),21.07.1992,Forhjulsdrift,57 Hk,730 kg,5,Kombi 3-dørs,3,Bruktbil til salgs,Personbil,0 kg
89,341438349,2008,183 000 km,Manuell,Diesel,1 845 kr (avgifter),29.02.2008,Forhjulsdrift,140 Hk,1 501 kg,5,Stasjonsvogn,5,Bruktbil til salgs,Personbil,1 800 kg
92,341405253,2008,227 800 km,Manuell,Bensin,1 845 kr (avgifter),04.10.2007,Forhjulsdrift,122 Hk,1 365 kg,5,Sedan,4,Bruktbil til salgs,Personbil,1 400 kg
95,341399036,2008,208 988 km,Manuell,Diesel,1 845 kr (avgifter),12.12.2007,Forhjulsdrift,140 Hk,1 585 kg,5,Stasjonsvogn,5,Bruktbil til salgs,Personbil,1 800 kg
96,341391897,1995,288 614 km,Manuell,Diesel,Fritatt (avgifter),09.12.1994,Forhjulsdrift,77 Hk,1 735 kg,9,Kasse,4,Bruktbil til salgs,Personbil,1 735 kg
97,340912321,2006,169 364 km,Manuell,Bensin,1 845 kr (avgifter),28.04.2006,Forhjulsdrift,116 Hk,1 377 kg,5,Kombi 5-dørs,5,Bruktbil til salgs,Personbil,1 500 kg
99,341299974,2005,208 500 km,Manuell,Bensin,1 845 kr (avgifter),19.11.2004,Forhjulsdrift,116 Hk,1 384 kg,5,Kombi 5-dørs,5,Bruktbil til salgs,Personbil,1 200 kg
101,341288097,2006,2 068 000 km,Manuell,Bensin,1 845 kr (avgifter),08.08.2006,Firehjulsdrift,107 Hk,1 325 kg,5,Stasjonsvogn,5,Bruktbil til salgs,Personbil,1 200 kg
102,341272866,2004,280 000 km,Manuell,Diesel,1 231 kr (avgifter),08.07.2003,Forhjulsdrift,105 Hk,1 825 kg,3,Kasse,4,Bruktbil til salgs,Varebil,2 200 kg
103,341270123,2005,339 000 km,Manuell,Diesel,1 845 kr (avgifter),05.04.2005,Forhjulsdrift,101 Hk,1 445 kg,5,Stasjonsvogn,5,Bruktbil til salgs,Personbil,1 400 kg
107,341253086,2006,112 000 km,Manuell,Bensin,1 845 kr (avgifter),27.09.2006,Forhjulsdrift,98 Hk,1 240 kg,5,Kombi 5-dørs,5,Bruktbil til salgs,Personbil,1 300 kg
109,341209806,2005,133 500 km,Manuell,Bensin,1 845 kr (avgifter),18.02.2005,Forhjulsdrift,64 Hk,1 090 kg,5,Kombi 5-dørs,5,Bruktbil til salgs,Personbil,750 kg
110,341203941,2006,340 000 km,Manuell,Diesel,1 845 kr (avgifter),24.10.2007,Forhjulsdrift,140 Hk,1 540 kg,5,Sedan,4,Bruktbil til salgs,Personbil,1 600 kg
112,341050438,2001,204 122 km,Manuell,Bensin,1 845 kr (avgifter),01.02.2002,Forhjulsdrift,101 Hk,1 255 kg,5,Sedan,4,Bruktbil til salgs,Personbil,1 150 kg
113,340909672,2006,295 054 km,Manuell,Diesel,Fritatt (avgifter),22.02.2010,Forhjulsdrift,125 Hk,1 732 kg,7,Flerbruksbil,4,Bruktbil til salgs,Personbil,1 400 kg
115,341155397,2008,166 892 km,Manuell,Diesel,1 845 kr (avgifter),27.08.2008,Forhjulsdrift,110 Hk,1 385 kg,5,Kombi 5-dørs,5,Bruktbil til salgs,Personbil,1 400 kg
116,341152281,2008,263 751 km,Manuell,Diesel,1 845 kr (avgifter),09.08.2007,Forhjulsdrift,109 Hk,1 411 kg,5,Stasjonsvogn,5,Bruktbil til salgs,Personbil,1 300 kg
117,341146104,2004,172 500 km,Manuell,Bensin,1 850 kr (avgifter),06.07.2004,Forhjulsdrift,98 Hk,1 190 kg,5,Stasjonsvogn,5,Bruktbil til salgs,Personbil,1 200 kg
119,341120830,2003,330 000 km,Automat,Diesel,Fritatt (avgifter),16.08.2006,Bakhjulsdrift,150 Hk,1 565 kg,5,Sedan,4,Bruktbil til salgs,Personbil,1 900 kg
120,341109762,2008,149 000 km,Manuell,Bensin,3 074 kr (avgifter),29.04.2008,Forhjulsdrift,80 Hk,957 kg,5,Kombi 5-dørs,5,Bruktbil til salgs,Personbil,800 kg
121,331081371,2001,251 500 km,Automat,Bensin,1 777 kr (avgifter),10.08.2000,Firehjulsdrift,165 Hk,1 690 kg,5,Stasjonsvogn,5,Bruktbil til salgs,Personbil,1 840 kg
122,341064397,2008,291 420 km,Manuell,Bensin,1 845 kr (avgifter),03.10.2008,Firehjulsdrift,107 Hk,1 265 kg,5,Kombi 5-dørs,4,Bruktbil til salgs,Personbil,1 200 kg
123,341008601,1995,380 000 km,Manuell,Diesel,1 845 kr (avgifter),17.02.1995,Forhjulsdrift,77 Hk,1 770 kg,8,Flerbruksbil,4,Bruktbil til salgs,Personbil,1 770 kg
124,340996090,2006,350 000 km,Automat,Diesel,1 845 kr (avgifter),11.10.2007,Bakhjulsdrift,170 Hk,1 735 kg,5,Stasjonsvogn,5,Bruktbil til salgs,Personbil,2 100 kg
125,340998952,2006,243 795 km,Manuell,Bensin,1 845 kr (avgifter),08.01.2007,Forhjulsdrift,105 Hk,1 240 kg,5,Stasjonsvogn,5,Bruktbil til salgs,Personbil,1 100 kg
126,340966839,2000,275 000 km,Manuell,Diesel,1 231 kr (avgifter),15.05.2000,Firehjulsdrift,90 Hk,1 845 kg,3,Kasse,5,Bruktbil til salgs,Varebil,2 000 kg
127,260150419,1999,186 325 km,Automat,Bensin,1 729 kr (avgifter),29.04.1999,Bakhjulsdrift,224 Hk,1 695 kg,5,Sedan,4,Bruktbil til salgs,Personbil,2 100 kg
129,340932421,2002,317 000 km,Manuell,Bensin,1 845 kr (avgifter),27.11.2001,Forhjulsdrift,105 Hk,1 215 kg,5,Sedan,4,Bruktbil til salgs,Personbil,1 200 kg
130,340913122,2007,179 000 km,Manuell,Diesel,1 845 kr (avgifter),09.08.2007,Forhjulsdrift,136 Hk,1 505 kg,5,Sedan,4,Bruktbil til salgs,Personbil,1 900 kg
132,340895717,2004,188 000 km,Manuell,Diesel,1 845 kr (avgifter),29.03.2004,Forhjulsdrift,101 Hk,1 639 kg,5,Flerbruksbil,5,Bruktbil til salgs,Personbil,1 500 kg
133,340896181,1999,220 000 km,Manuell,Bensin,3 074 kr (avgifter),11.03.1999,Forhjulsdrift,101 Hk,1 162 kg,5,Sedan,4,Bruktbil til salgs,Personbil,1 200 kg
135,340782840,2008,257 000 km,Manuell,Diesel,1 845 kr (avgifter),31.07.2008,Forhjulsdrift,140 Hk,1 470 kg,5,Stasjonsvogn,5,Bruktbil til salgs,Personbil,1 600 kg
136,340881157,2007,238 629 km,Automat,Diesel,1 845 kr (avgifter),27.04.2010,Forhjulsdrift,109 Hk,1 305 kg,5,Flerbruksbil,4,Bruktbil til salgs,Personbil,1 500 kg
137,340883848,2011,200 000 km,Manuell,Diesel,1 231 kr (avgifter),16.09.2011,Forhjulsdrift,111 Hk,1 615 kg,2,Kasse,4,Bruktbil til salgs,Varebil,1 300 kg
138,340829486,2007,213 000 km,Manuell,Bensin,1 845 kr (avgifter),29.09.2006,Forhjulsdrift,102 Hk,1 208 kg,5,Kombi 5-dørs,5,Bruktbil til salgs,Personbil,1 200 kg
139,340812596,2002,292 124 km,Manuell,Diesel,1 845 kr (avgifter),21.11.2002,Forhjulsdrift,75 Hk,1 090 kg,5,Flerbruksbil,5,Bruktbil til salgs,Personbil,900 kg
140,340805035,2006,198 000 km,Manuell,Bensin,1 845 kr (avgifter),04.11.2005,Forhjulsdrift,170 Hk,1 717 kg,5,Sedan,4,Bruktbil til salgs,Personbil,1 400 kg
142,340743831,2004,228 036 km,Manuell,Bensin,1 845 kr (avgifter),03.05.2004,Forhjulsdrift,116 Hk,1 355 kg,5,Stasjonsvogn,4,Bruktbil til salgs,Personbil,1 200 kg
144,340521678,2004,235 000 km,Manuell,Bensin,1 845 kr (avgifter),07.08.2003,Forhjulsdrift,102 Hk,1 354 kg,5,Stasjonsvogn,5,Bruktbil til salgs,Personbil,1 200 kg
146,340600507,2007,198 000 km,Manuell,Diesel,1 231 kr (avgifter),10.07.2007,Forhjulsdrift,90 Hk,1 575 kg,2,Kasse,3,Bruktbil til salgs,Varebil,1 200 kg
148,340557446,2009,352 000 km,Automat,Diesel,1 845 kr (avgifter),21.07.2009,Forhjulsdrift,140 Hk,1 597 kg,5,Stasjonsvogn,5,Bruktbil til salgs,Personbil,2 000 kg
149,333797999,2007,177 000 km,Manuell,Diesel,1 186 kr (avgifter),13.02.2008,Forhjulsdrift,75 Hk,1 575 kg,2,Kasse,4,Bruktbil til salgs,Varebil,1 200 kg
152,340339850,2006,226 934 km,Manuell,Diesel,1 845 kr (avgifter),09.07.2007,Forhjulsdrift,109 Hk,1 341 kg,5,Stasjonsvogn,4,Bruktbil til salgs,Personbil,1 300 kg
153,340344685,2005,78 853 km,Manuell,Bensin,1 845 kr (avgifter),11.01.2006,Forhjulsdrift,80 Hk,1 101 kg,5,Kombi 5-dørs,5,Bruktbil til salgs,Personbil,900 kg
155,340316036,2002,210 000 km,Automat,Diesel,1 845 kr (avgifter),01.10.2002,Bakhjulsdrift,143 Hk,1 470 kg,5,Sedan,4,Bruktbil til salgs,Personbil,1 500 kg
157,340252602,2006,139 543 km,Manuell,Diesel,1 231 kr (avgifter),14.03.2006,Forhjulsdrift,69 Hk,1 210 kg,2,Kombi 5-dørs,5,Bruktbil til salgs,Varebil,1 000 kg
159,337270395,2011,287 000 km,Manuell,Diesel,3 074 kr (avgifter),02.05.2011,Forhjulsdrift,90 Hk,1 135 kg,5,Flerbruksbil,5,Bruktbil til salgs,Personbil,800 kg
161,340160567,2008,270 000 km,Automat,Bensin,1 845 kr (avgifter),02.07.2008,Forhjulsdrift,120 Hk,1 312 kg,5,Kombi 5-dørs,5,Bruktbil til salgs,Personbil,1 520 kg
162,340114987,2007,126 000 km,Manuell,Bensin,Fritatt (avgifter),20.11.2006,Forhjulsdrift,64 Hk,1 176 kg,5,Kombi 5-dørs,4,Bruktbil til salgs,Personbil,800 kg
163,340064123,2006,242 600 km,Manuell,Diesel,1 845 kr (avgifter),09.02.2006,Forhjulsdrift,109 Hk,1 492 kg,5,Stasjonsvogn,5,Bruktbil til salgs,Personbil,1 300 kg
164,340070645,2008,214 600 km,Manuell,Diesel,1 845 kr (avgifter),07.02.2008,Forhjulsdrift,90 Hk,1 326 kg,5,Kombi 5-dørs,5,Bruktbil til salgs,Personbil,1 400 kg
167,268882640,2006,186 000 km,Manuell,Bensin,1 729 kr (avgifter),30.03.2006,Forhjulsdrift,102 Hk,1 208 kg,5,Kombi 5-dørs,5,Bruktbil til salgs,Personbil,1 000 kg
168,339971700,2010,213 000 km,Manuell,Diesel,1 845 kr (avgifter),13.08.2010,Forhjulsdrift,105 Hk,1 465 kg,5,Stasjonsvogn,5,Bruktbil til salgs,Personbil,1 400 kg
170,339611012,1999,205 755 km,Manuell,Bensin,1 845 kr (avgifter),02.03.1999,Forhjulsdrift,86 Hk,1 065 kg,5,Coupe,5,Bruktbil til salgs,Personbil,1 000 kg
172,339814746,2005,194 000 km,Manuell,Diesel,1 845 kr (avgifter),01.06.2006,Bakhjulsdrift,163 Hk,1 430 kg,5,Sedan,4,Bruktbil til salgs,Personbil,1 600 kg
173,339778227,2004,292 000 km,Manuell,Bensin,1 845 kr (avgifter),19.02.2004,Forhjulsdrift,129 Hk,1 295 kg,5,Stasjonsvogn,4,Bruktbil til salgs,Personbil,1 300 kg
174,337882443,2003,165 352 km,Manuell,Bensin,1 845 kr (avgifter),15.10.2002,Forhjulsdrift,109 Hk,1 355 kg,5,Stasjonsvogn,5,Bruktbil til salgs,Personbil,1 200 kg
175,335882879,2005,268 709 km,Manuell,Diesel,1 777 kr (avgifter),07.10.2005,Forhjulsdrift,136 Hk,1 710 kg,7,Flerbruksbil,4,Bruktbil til salgs,Personbil,2 000 kg
176,339737318,2007,190 780 km,Manuell,Bensin,Fritatt (avgifter),31.08.2006,Forhjulsdrift,102 Hk,1 308 kg,5,Flerbruksbil,5,Bruktbil til salgs,Personbil,1 200 kg
177,339722924,2003,126 000 km,Manuell,Bensin,3 074 kr (avgifter),15.11.2002,Forhjulsdrift,75 Hk,1 186 kg,5,Kombi 5-dørs,5,Bruktbil til salgs,Personbil,1 000 kg
178,339697718,1999,166 300 km,Manuell,Bensin,1 845 kr (avgifter),28.05.1998,Forhjulsdrift,75 Hk,1 105 kg,5,Stasjonsvogn,5,Bruktbil til salgs,Personbil,1 000 kg
180,339672436,2004,123 456 km,Manuell,Bensin,1 845 kr (avgifter),15.04.2013,Firehjulsdrift,163 Hk,1 525 kg,5,Stasjonsvogn,4,Bruktbil til salgs,Personbil,1 600 kg
181,339631836,2007,170 190 km,Manuell,Bensin,1 845 kr (avgifter),28.08.2006,Forhjulsdrift,64 Hk,1 173 kg,5,Coupe,4,Bruktbil til salgs,Personbil,800 kg
182,339377270,2010,303 968 km,Manuell,Diesel,1 845 kr (avgifter),10.05.2010,Forhjulsdrift,105 Hk,1 603 kg,7,Flerbruksbil,5,Bruktbil til salgs,Personbil,1 200 kg
184,339218905,2007,240 000 km,Manuell,Diesel,Fritatt (avgifter),23.11.2007,Firehjulsdrift,150 Hk,1 643 kg,5,Kombi 5-dørs,5,Bruktbil til salgs,Personbil,1 400 kg
186,339173613,2008,201 600 km,Manuell,Bensin,Ikke oppgitt (avgifter),27.03.2008,Forhjulsdrift,64 Hk,1 165 kg,5,Stasjonsvogn,5,Bruktbil til salgs,Personbil,750 kg
187,339030559,2007,335 000 km,Manuell,Diesel,1 845 kr (avgifter),24.05.2007,Forhjulsdrift,126 Hk,1 465 kg,5,Stasjonsvogn,5,Bruktbil til salgs,Personbil,1 300 kg
188,338826148,2006,299 081 km,Manuell,Diesel,1 845 kr (avgifter),13.06.2006,Forhjulsdrift,101 Hk,1 285 kg,5,Stasjonsvogn,5,Bruktbil til salgs,Personbil,1 300 kg
189,338799098,2004,180 715 km,Manuell,Bensin,3 074 kr (avgifter),22.10.2004,Forhjulsdrift,95 Hk,1 195 kg,5,Stasjonsvogn,2,Bruktbil til salgs,Personbil,1 000 kg
192,338499955,2002,209 876 km,Manuell,Bensin,Fritatt (avgifter),01.07.2002,Forhjulsdrift,86 Hk,1 000 kg,5,Kombi 5-dørs,4,Bruktbil til salgs,Personbil,900 kg
193,338409566,2003,139 900 km,Manuell,Bensin,1 880 kr (avgifter),13.09.2002,Forhjulsdrift,122 Hk,1 300 kg,5,Sedan,4,Bruktbil til salgs,Personbil,1 300 kg
195,338377505,2009,260 000 km,Manuell,Diesel,1 845 kr (avgifter),10.09.2008,Forhjulsdrift,120 Hk,1 490 kg,5,Sedan,4,Bruktbil til salgs,Personbil,1 500 kg
197,338257867,2008,191 016 km,Manuell,Diesel,Fritatt (avgifter),22.07.2009,Forhjulsdrift,109 Hk,1 319 kg,5,Sedan,4,Bruktbil til salgs,Personbil,1 300 kg
198,338025371,2004,252 552 km,Manuell,Diesel,3 074 kr (avgifter),28.03.2008,Forhjulsdrift,75 Hk,1 100 kg,4,Kombi 3-dørs,2,Bruktbil til salgs,Personbil,650 kg
200,335952689,2003,246 000 km,Automat,Bensin,1 845 kr (avgifter),17.07.2003,Forhjulsdrift,179 Hk,1 562 kg,5,Sedan,4,Bruktbil til salgs,Personbil,1 600 kg
202,337315694,2008,197 769 km,Automat,Bensin,1 800 kr (avgifter),17.06.2008,Forhjulsdrift,87 Hk,1 025 kg,5,Sedan,4,Bruktbil til salgs,Personbil,750 kg
203,337298899,2007,181 000 km,Manuell,Diesel,1 845 kr (avgifter),19.11.2008,Forhjulsdrift,121 Hk,1 430 kg,5,Stasjonsvogn,4,Bruktbil til salgs,Personbil,1 000 kg
204,337200969,2008,218 000 km,Manuell,Diesel,Ikke oppgitt (avgifter),13.03.2008,Forhjulsdrift,101 Hk,1 736 kg,7,Flerbruksbil,5,Bruktbil til salgs,Personbil,1 450 kg
205,334372452,2001,314 700 km,Automat,Bensin,1 777 kr (avgifter),02.04.2001,Firehjulsdrift,200 Hk,1 687 kg,5,Stasjonsvogn,5,Bruktbil til salgs,Personbil,1 800 kg
208,318452067,2004,250 080 km,Manuell,Bensin,1 845 kr (avgifter),16.12.2004,Forhjulsdrift,165 Hk,1 645 kg,7,Flerbruksbil,5,Bruktbil til salgs,Personbil,1 600 kg
209,336328005,2004,195 526 km,Automat,Bensin,1 777 kr (avgifter),17.06.2004,Forhjulsdrift,87 Hk,935 kg,5,Kombi 5-dørs,4,Bruktbil til salgs,Personbil,900 kg
210,326510990,2004,238 000 km,Manuell,Bensin,1 777 kr (avgifter),19.04.2004,Forhjulsdrift,122 Hk,1 280 kg,5,Stasjonsvogn,5,Bruktbil til salgs,Personbil,1 200 kg
211,335943039,2008,165 000 km,Manuell,Diesel,1 800 kr (avgifter),25.06.2009,Forhjulsdrift,143 Hk,1 535 kg,7,Flerbruksbil,4,Bruktbil til salgs,Personbil,1 400 kg
212,335892487,2003,335 000 km,Manuell,Bensin,1 845 kr (avgifter),20.02.2023,Forhjulsdrift,140 Hk,1 509 kg,5,Stasjonsvogn,5,Bruktbil til salgs,Personbil,1 800 kg
214,326820238,2004,266 000 km,Automat,Bensin,1 777 kr (avgifter),14.05.2004,Firehjulsdrift,150 Hk,1 483 kg,5,SUV/Offroad,5,Bruktbil til salgs,Personbil,1 200 kg
215,335181068,2006,150 000 km,Manuell,Bensin,1 845 kr (avgifter),18.05.2006,Bakhjulsdrift,116 Hk,1 415 kg,5,Sedan,4,Bruktbil til salgs,Personbil,1 100 kg
216,335147584,2004,246 000 km,Manuell,Bensin,1 845 kr (avgifter),13.07.2004,Forhjulsdrift,116 Hk,1 245 kg,5,Kombi 5-dørs,4,Bruktbil til salgs,Personbil,1 300 kg
218,331081387,2003,204 000 km,Manuell,Diesel,1 186 kr (avgifter),14.01.2005,Forhjulsdrift,101 Hk,1 752 kg,3,Kasse,5,Bruktbil til salgs,Varebil,2 000 kg
219,334478152,2003,203 000 km,Manuell,Diesel,1 777 kr (avgifter),24.01.2003,Firehjulsdrift,116 Hk,1 370 kg,5,Kombi 5-dørs,4,Bruktbil til salgs,Personbil,1 500 kg
220,334094084,2004,75 000 km,Manuell,Bensin,1 777 kr (avgifter),20.09.2004,Forhjulsdrift,60 Hk,1 053 kg,5,Kombi 5-dørs,4,Bruktbil til salgs,Personbil,926 kg
221,332526123,2008,200 000 km,Manuell,Bensin,1 777 kr (avgifter),31.03.2009,Forhjulsdrift,95 Hk,1 050 kg,5,Kombi 5-dørs,4,Bruktbil til salgs,Personbil,1 000 kg
224,327965364,2004,175 000 km,Manuell,Bensin,Inklusiv (avgifter),05.02.2004,Forhjulsdrift,122 Hk,1 375 kg,5,Sedan,5,Bruktbil til salgs,Personbil,1 400 kg
226,325881927,2004,310 000 km,Manuell,Bensin,1 777 kr (avgifter),21.10.2004,Forhjulsdrift,116 Hk,1 550 kg,5,Sedan,4,Bruktbil til salgs,Personbil,1 300 kg
227,324810711,2010,246 468 km,Manuell,Diesel,1 777 kr (avgifter),25.02.2010,Firehjulsdrift,150 Hk,1 571 kg,5,Stasjonsvogn,5,Bruktbil til salgs,Personbil,1 700 kg
230,322694272,1998,350 000 km,Automat,Bensin,1 777 kr (avgifter),12.08.2003,Bakhjulsdrift,224 Hk,1 695 kg,5,Sedan,4,Bruktbil til salgs,Personbil,2 100 kg
231,322689565,1993,271 000 km,Automat,Bensin,1 777 kr (avgifter),12.11.1999,Bakhjulsdrift,136 Hk,1 400 kg,5,Sedan,4,Bruktbil til salgs,Personbil,1 400 kg
234,317723015,2006,283 000 km,Automat,Bensin,Fritatt (avgifter),19.01.2006,Forhjulsdrift,165 Hk,1 625 kg,7,Stasjonsvogn,5,Bruktbil til salgs,Personbil,1 885 kg
235,317631626,2007,263 500 km,Manuell,Diesel,1 777 kr (avgifter),21.03.2007,Forhjulsdrift,125 Hk,1 744 kg,7,Kombi 5-dørs,4,Bruktbil til salgs,Personbil,1 450 kg
242,326202158,2005,225 474 km,Manuell,Diesel,1 777 kr (avgifter),15.09.2005,Bakhjulsdrift,109 Hk,1 360 kg,5,Flerbruksbil,5,Bruktbil til salgs,Personbil,1 500 kg
243,341455773,2003,326 021 km,Manuell,Diesel,1 231 kr (avgifter),02.12.2002,Forhjulsdrift,102 Hk,1 710 kg,3,Kasse,5,Bruktbil til salgs,Varebil,2 000 kg
244,341462736,2004,250 321 km,Manuell,Diesel,1 845 kr (avgifter),23.09.2004,Firehjulsdrift,101 Hk,1 512 kg,5,Stasjonsvogn,4,Bruktbil til salgs,Personbil,1 500 kg
247,341273953,2007,267 300 km,Manuell,Diesel,1 845 kr (avgifter),01.11.2007,Forhjulsdrift,105 Hk,1 455 kg,2,Kasse,4,Bruktbil til salgs,Varebil,1 500 kg
248,341443455,2008,132 000 km,Manuell,Bensin,Fritatt (avgifter),26.03.2012,Forhjulsdrift,69 Hk,1 091 kg,5,Kombi 5-dørs,4,Bruktbil til salgs,Personbil,800 kg
249,341426530,2005,207 789 km,Manuell,Bensin,1 845 kr (avgifter),09.09.2004,Forhjulsdrift,125 Hk,1 299 kg,5,Stasjonsvogn,5,Bruktbil til salgs,Personbil,1 300 kg
251,341303215,2010,217 500 km,Manuell,Diesel,1 845 kr (avgifter),10.11.2010,Forhjulsdrift,129 Hk,1 490 kg,5,Stasjonsvogn,5,Bruktbil til salgs,Personbil,1 400 kg
252,341405765,2012,188 800 km,Manuell,Diesel,1 845 kr (avgifter),02.03.2018,Forhjulsdrift,129 Hk,1 657 kg,5,Stasjonsvogn,4,Bruktbil til salgs,Personbil,1 400 kg
253,332356282,2008,190 000 km,Manuell,Diesel,1 186 kr (avgifter),30.04.2008,Forhjulsdrift,140 Hk,1 830 kg,3,Kasse,5,Bruktbil til salgs,Varebil,2 000 kg
254,341175878,2007,167 300 km,Manuell,Bensin,3 074 kr (avgifter),28.09.2006,Forhjulsdrift,64 Hk,1 091 kg,5,Kombi 5-dørs,5,Bruktbil til salgs,Personbil,800 kg
255,341378802,2004,192 885 km,Manuell,Bensin,1 845 kr (avgifter),21.09.2004,Forhjulsdrift,109 Hk,1 438 kg,4,Cabriolet,2,Bruktbil til salgs,Personbil,1 200 kg
256,341382285,2006,217 922 km,Manuell,Diesel,1 845 kr (avgifter),22.02.2006,Forhjulsdrift,90 Hk,1 205 kg,5,Kombi 5-dørs,5,Bruktbil til salgs,Personbil,1 000 kg
257,341332527,2005,12 345 678 km,Automat,Bensin,1 845 kr (avgifter),28.10.2004,Firehjulsdrift,209 Hk,2 088 kg,7,SUV/Offroad,5,Bruktbil til salgs,Personbil,2 250 kg
259,337559609,2004,294 000 km,Automat,Bensin,Fritatt (avgifter),17.09.2004,Bakhjulsdrift,163 Hk,1 530 kg,5,Sedan,4,Bruktbil til salgs,Personbil,1 900 kg
260,338807796,2008,331 893 km,Manuell,Diesel,1 845 kr (avgifter),25.10.2007,Firehjulsdrift,105 Hk,1 389 kg,5,Kombi 5-dørs,5,Bruktbil til salgs,Personbil,1 500 kg
261,341350325,1995,367 100 km,Manuell,Diesel,Fritatt (avgifter),31.03.1998,Forhjulsdrift,90 Hk,1 475 kg,5,Sedan,4,Bruktbil til salgs,Personbil,0 kg
262,341344762,2007,293 000 km,Automat,Diesel,1 845 kr (avgifter),19.11.2007,Forhjulsdrift,131 Hk,1 522 kg,5,Stasjonsvogn,5,Bruktbil til salgs,Personbil,2 000 kg
263,331405232,2006,110 000 km,Manuell,Bensin,1 777 kr (avgifter),27.04.2006,Bakhjulsdrift,116 Hk,1 340 kg,5,Sedan,4,Bruktbil til salgs,Personbil,1 100 kg
265,341339015,1999,151 690 km,Manuell,Bensin,1 845 kr (avgifter),02.06.1999,Forhjulsdrift,101 Hk,1 100 kg,5,Kombi 5-dørs,5,Bruktbil til salgs,Personbil,1 150 kg
266,341323168,2009,222 490 km,Manuell,Diesel,1 845 kr (avgifter),31.08.2009,Forhjulsdrift,90 Hk,1 277 kg,5,Kombi 5-dørs,5,Bruktbil til salgs,Personbil,1 200 kg
268,341296408,2007,225 000 km,Manuell,Bensin,1 845 kr (avgifter),18.10.2007,Forhjulsdrift,110 Hk,1 315 kg,5,Stasjonsvogn,4,Bruktbil til salgs,Personbil,1 300 kg
269,341291677,2007,325 363 km,Manuell,Diesel,1 845 kr (avgifter),04.07.2023,Firehjulsdrift,140 Hk,1 477 kg,5,Stasjonsvogn,5,Bruktbil til salgs,Personbil,1 500 kg
271,341281873,2003,421 000 km,Automat,Diesel,1 845 kr (avgifter),05.04.2004,Forhjulsdrift,131 Hk,1 567 kg,5,Sedan,4,Bruktbil til salgs,Personbil,1 800 kg
